,Author,Bookmarks,Comments,Post stats,Tags,Title,Views
0,sahsAGU,16,2.0,13.0,"['Разработка под Linux', 'Машинное обучение', 'Python', 'Microsoft Azure', 'Блог компании Microsoft']",Обзор Ubuntu DSVM: алхимия ни при чём,"2,3k"
1,N01Z3,61,8.0,55.0,"['Обработка изображений', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Open Data Science']",Kaggle: Amazon from Space — трюки и хаки при обучении нейросетей,"6,8k"
2,Debug_all,101,25.0,16.0,"['Сетевые технологии', 'Ненормальное программирование', 'Python']","Анализ таблиц маршрутизации, или зачем ещё сетевому инженеру Python","7,8k"
3,Firemoon,112,12.0,28.0,"['Сетевые технологии', 'Python']",Стеганография в IP-пакетах,12k
4,Scorobey,41,9.0,13.0,"['Разработка под Windows', 'Математика', 'Алгоритмы', 'Python']","Определение баллистико-временных характеристик движения центра масс парашютиста, десантированного с самолёта","3,5k"
5,WAF,84,4.0,18.0,"['Информационная безопасность', 'Python']",Python и стеганография,"5,4k"
6,snakers4,31,6.0,24.0,"['Обработка изображений', 'Машинное обучение', 'Python']",Состязательные атаки (adversarial attacks) в соревновании Machines Can See 2018,"4,4k"
7,AlexPancho,30,10.0,15.0,"['Программирование', 'Информационная безопасность', 'Python']","Как я писал логин по протоколу SRP6a на Python, а получил… JavaScript и Python в одной коробке","2,9k"
8,rainbowpenguin,125,5.0,20.0,['Python'],NumPy в Python. Часть 3,"4,9k"
9,shulyndina,10,4.0,3.0,"['Программирование', 'Машинное обучение', 'Python', 'Django', 'Блог компании IT-People']","Предварительная программа PyConRu-2018: три Python Core Developer’а, докладчики из Google, Yelp, Red Hat, Яндекса","1,5k"
10,ph_piter,103,5.0,32.0,"['Машинное обучение', 'Математика', 'Алгоритмы', 'Python', 'Блог компании Издательский дом «Питер»']",Вероятностное программирование и байесовский метод для хакеров,"10,3k"
11,ph_piter,150,8.0,19.0,"['Профессиональная литература', 'Python', 'Блог компании Издательский дом «Питер»']",Книга «Глубокое обучение на Python»,"10,1k"
12,sahsAGU,112,186.0,45.0,"['Программирование', 'Искусственный интеллект', 'Python', 'API', 'Блог компании Microsoft']",Как нас анализируют в кинотеатрах… и не только,"44,4k"
13,BeloborodovDS,63,3.0,10.0,"['Облачные сервисы', 'Облачные вычисления', 'Машинное обучение', 'Python']",Сборка Caffe в Google Colaboratory: бесплатная видеокарта в облаке,"4,9k"
14,GoodSpeed800,32,2.0,4.0,"['Python', 'Data Mining', 'Big Data']",Хабра-словарь. Часть 1,3k
15,trojan03,31,4.0,8.0,"['Робототехника', 'Машинное обучение', 'Python', '*nix']",Калибровка камеры Intel RealSense d435 с помощью OpenCV2 и ROS,"1,9k"
16,Scorobey,42,6.0,13.0,"['Разработка под Windows', 'Разработка под Arduino', 'Математика', 'Анализ и проектирование систем', 'Python']",Определение плотности газа по результатам измерения давления и температуры датчиками Arduino,"2,5k"
17,cointegrated,46,11.0,25.0,"['Хакатоны', 'Прототипирование', 'Машинное обучение', 'Python', 'Data Mining']",Машинное обучение и экструдер полипропилена: история 3 места на хакатоне Сибура,"6,2k"
18,a-pichugin,17,3.0,9.0,"['Обработка изображений', 'Машинное обучение', 'Python', 'Big Data', 'Блог компании New Professions Lab']",ConvNets. Создание прототипа проекта с помощью Mask R-CNN,2k
19,SergeySatskiy,97,11.0,20.0,['Python'],Автоматическая визуализация python-кода. Часть третья: новые возможности графического представления кода,"9,1k"
20,AlekSandrDr,57,15.0,14.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XXIII: Интерфейсы прикладного программирования (API)","6,1k"
21,Distem,41,,10.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании ID Finance']",Постановка Data Science задач и взаимодействие с бизнесом,"3,8k"
